Título,Ventas
Resident Evil 4,
Apex Legends™,
Sons Of The Forest,
Hogwarts Legacy,
Call of Duty®: Modern Warfare® II,
The Last of Us™ Part I,
Lost Ark,
EA SPORTS™ FIFA 23,-70%
DREDGE,
ELDEN RING,
The Sims™ 4,
Forza Horizon 5,-40%
Smalland: Survive the Wilds,-10%
Total War: WARHAMMER III,
Yu-Gi-Oh! Master Duel,
Sea of Thieves 2023 Edition,
Ready or Not,
Pizza Tower,
NBA 2K23,-75%
Demonologist,-10%
Baldur's Gate 3,
Sun Haven,
Terra Nil,
Sifu,-10%
Phasmophobia,
Deep Rock Galactic,
WWE 2K23,
Fallout 76,
The Great War: Western Front™,
